figure,specimen,row_px1200,x_pt,y_pt,run_width_px,slip_in,load_kips
Fig. 3.15,DBLNB-05ST,637,357.74,448.25,462,0.37654,42.728
Fig. 3.15,DBLNB-05ST,638,357.65,448.31,463,0.37634,42.711
Fig. 3.15,DBLNB-05ST,639,357.53,448.37,461,0.37608,42.693
Fig. 3.15,DBLNB-05ST,640,357.41,448.43,461,0.37581,42.675
Fig. 3.15,DBLNB-05ST,641,357.26,448.49,458,0.37548,42.658
Fig. 3.15,DBLNB-05ST,642,357.11,448.55,455,0.37516,42.64
Fig. 3.15,DBLNB-05ST,643,341.87,448.61,9,0.34177,42.622
Fig. 3.15,DBLNB-05ST,644,341.87,448.67,21,0.34177,42.604
Fig. 3.15,DBLNB-05ST,645,354.86,448.73,460,0.37023,42.587
Fig. 3.15,DBLNB-05ST,646,354.71,448.79,461,0.3699,42.569
Fig. 3.15,DBLNB-05ST,647,354.62,448.85,462,0.3697,42.551
Fig. 3.15,DBLNB-05ST,648,354.5,448.91,462,0.36944,42.534
Fig. 3.15,DBLNB-05ST,649,354.38,448.97,462,0.36918,42.516
Fig. 3.15,DBLNB-05ST,650,354.29,449.03,461,0.36898,42.498
Fig. 3.15,DBLNB-05ST,651,354.17,449.09,461,0.36872,42.48
Fig. 3.15,DBLNB-05ST,652,354.02,449.15,458,0.36839,42.463
Fig. 3.15,DBLNB-05ST,653,353.87,449.21,455,0.36806,42.445
Fig. 3.15,DBLNB-05ST,654,351.56,449.27,444,0.363,42.427
Fig. 3.15,DBLNB-05ST,655,351.38,449.33,448,0.3626,42.409
Fig. 3.15,DBLNB-05ST,656,351.26,449.39,450,0.36234,42.392
