figure,specimen,drawing_index,pdf_x_pt,pdf_y_pt,slip_in,total_load_kip
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,179.135,419.391,0.04896,162.931
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,179.884,419.391,0.04999,162.931
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,180.633,419.391,0.05102,162.931
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,181.382,419.391,0.05206,162.931
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,181.382,418.643,0.05206,163.85
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,182.131,418.643,0.05309,163.85
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,182.88,418.643,0.05412,163.85
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,183.629,418.643,0.05516,163.85
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,184.378,418.643,0.05619,163.85
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,185.127,418.643,0.05723,163.85
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,185.876,418.643,0.05826,163.85
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,186.625,418.643,0.05929,163.85
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,186.625,417.895,0.05929,164.769
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,187.374,417.895,0.06033,164.769
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,188.123,417.895,0.06136,164.769
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,188.872,417.895,0.06239,164.769
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,189.621,417.895,0.06343,164.769
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,190.37,417.895,0.06446,164.769
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,191.119,417.895,0.06549,164.769
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,191.868,417.895,0.06653,164.769
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,191.868,417.146,0.06653,165.687
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,192.617,417.146,0.06756,165.687
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,193.366,417.146,0.0686,165.687
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,194.115,417.146,0.06963,165.687
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,194.864,417.146,0.07066,165.687
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,195.613,417.146,0.0717,165.687
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,196.362,417.146,0.07273,165.687
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,197.111,417.146,0.07376,165.687
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,197.86,417.146,0.0748,165.687
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,197.86,416.398,0.0748,166.606
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,198.609,416.398,0.07583,166.606
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,199.358,416.398,0.07687,166.606
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,200.107,416.398,0.0779,166.606
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,200.856,416.398,0.07893,166.606
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,201.605,416.398,0.07997,166.606
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,202.354,416.398,0.081,166.606
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,203.103,416.398,0.08203,166.606
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,203.852,416.398,0.08307,166.606
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,203.852,415.65,0.08307,167.525
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,204.601,415.65,0.0841,167.525
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,205.35,415.65,0.08513,167.525
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,206.099,415.65,0.08617,167.525
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,206.848,415.65,0.0872,167.525
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,207.597,415.65,0.08824,167.525
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,208.346,415.65,0.08927,167.525
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,209.095,415.65,0.0903,167.525
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,209.844,415.65,0.09134,167.525
Fig92_CIP_longitudinal,PO-S1-L3D-CIP,8,210.593,415.65,0.09237,167.525
